0	14349	144
1	7746	158
2	5404	167
3	4162	173
4	3371	177
5	2802	178
6	2397	180
7	2124	184
8	1916	189
9	1739	193
10	1593	196
11	1477	201
12	1373	205
13	1286	209
14	1207	213
15	1138	216
16	1076	220
17	1021	224
18	972	228
19	926	231
20	882	234
21	846	238
22	809	241
23	777	245
24	746	248
25	738	259
26	734	271
27	715	278
28	690	282
29	668	286
30	647	291
31	627	295
32	607	299
33	587	302
34	569	306
35	551	310
36	535	314
37	519	318
38	503	322
39	488	325
40	475	330
41	464	336
42	450	339
43	437	343
44	423	346
45	410	349
46	398	353
47	386	357
48	376	361
49	364	364
50	354	368
51	343	372
52	334	377
53	326	383
54	316	386
55	306	389
56	296	392
57	286	395
58	278	401
59	269	404
60	261	408
61	252	411
62	243	414
63	235	418
64	227	422
65	218	425
66	210	428
67	202	431
68	195	434
69	187	437
70	180	441
71	172	444
72	165	448
73	159	452
74	151	455
75	144	458
76	137	461
77	131	464
78	124	467
79	117	471
80	111	474
81	104	477
82	98	480
83	92	484
84	86	488
85	80	493
86	74	496
87	68	500
88	62	503
89	56	508
90	50	512
91	44	515
92	39	519
93	33	523
94	27	526
95	22	531
96	16	535
97	11	540
98	5	544
99	0	549
